arxiv_id,pymupdf_chars,pymupdf_status,pymupdf_sections,pymupdf_seconds,pdfplumber_chars,pdfplumber_status,pdfplumber_sections,pdfplumber_seconds,char_delta_pct
1506.04214v2,32178,clean,6,0.03,30479,clean,13,0.79,5.6
2304.14131v2,57461,clean,14,0.08,57113,clean,22,2.29,0.6
2212.02952v2,23956,clean,15,0.03,21975,degraded,15,0.59,9.0
2002.05398v3,57440,clean,9,0.05,57878,failed,15,1.43,-0.8
2403.13458v2,59219,clean,16,0.07,58528,clean,19,1.65,1.2
2408.11438v3,71019,clean,59,0.17,69101,failed,20,7.4,2.8
2107.01343v1,40296,clean,16,0.07,40411,clean,22,3.14,-0.3
2608.21812v1,126913,clean,26,0.08,127152,clean,25,2.78,-0.2
2008.10679v2,27420,clean,5,0.02,24858,clean,5,0.76,10.3
2512.01062v1,14510,clean,6,0.03,13034,degraded,12,0.43,11.3
2601.01605v1,46294,clean,6,0.04,44743,clean,3,0.95,3.5
2011.04452v1,17461,clean,10,0.02,16748,clean,3,0.49,4.3
2007.04417v2,35766,clean,20,0.03,34614,clean,8,0.71,3.3
2308.15560v2,65271,clean,13,0.08,65066,failed,44,1.26,0.3
2601.09467v1,50514,clean,2,0.04,50528,degraded,1,1.46,-0.0
